指标名称,中国:社会融资规模:当月值
频率,月
单位,亿元
指标ID,M5206730
来源,中国人民银行
2002-01-31,-472.0
2002-02-28,289.0
2002-03-31,3136.0
2002-04-30,1151.0
2002-05-31,1774.0
2002-06-30,2621.0
2002-07-31,813.0
2002-08-31,1585.0
2002-09-30,3507.0
2002-10-31,795.0
2002-11-30,1805.0
2002-12-31,3109.0
2003-01-31,3386.0
2003-02-28,998.0
2003-03-31,4041.0
2003-04-30,2622.0
2003-05-31,2971.0
2003-06-30,5842.0
2003-07-31,1344.0
2003-08-31,3321.0
2003-09-30,4040.0
2003-10-31,1218.0
2003-11-30,1832.0
2003-12-31,2498.0
2004-01-31,2114.0
2004-02-29,438.0
2004-03-31,6557.0
2004-04-30,2731.0
2004-05-31,2443.0
2004-06-30,3229.0
2004-07-31,590.0
2004-08-31,1501.0
2004-09-30,2981.0
2004-10-31,483.0
2004-11-30,1977.0
2004-12-31,3586.0
2005-01-31,3620.0
2005-02-28,824.0
2005-03-31,4189.0
2005-04-30,1999.0
2005-05-31,1968.0
2005-06-30,4723.0
2005-07-31,629.0
2005-08-31,2097.0
2005-09-30,6041.0
2005-10-31,-974.0
2005-11-30,2368.0
2005-12-31,2524.0
2006-01-31,6323.0
2006-02-28,1737.0
2006-03-31,7472.0
2006-04-30,3325.0
2006-05-31,3785.0
2006-06-30,3843.0
2006-07-31,2254.0
2006-08-31,3362.0
2006-09-30,3077.0
2006-10-31,894.0
2006-11-30,2788.0
2006-12-31,3837.0
2007-01-31,6908.0
2007-02-28,3083.0
2007-03-31,6311.0
2007-04-30,6103.0
2007-05-31,3824.0
2007-06-30,7042.0
2007-07-31,3100.0
2007-08-31,6961.0
2007-09-30,5290.0
2007-10-31,3688.0
2007-11-30,3073.0
2007-12-31,4281.0
2008-01-31,10859.0
2008-02-29,4731.0
2008-03-31,6391.0
2008-04-30,7076.0
2008-05-31,5678.0
2008-06-30,5976.0
2008-07-31,4890.0
2008-08-31,4575.0
2008-09-30,5659.0
2008-10-31,1288.0
2008-11-30,4517.0
2008-12-31,8164.0
2009-01-31,13990.0
2009-02-28,11131.0
2009-03-31,22011.0
2009-04-30,5452.0
2009-05-31,14959.0
2009-06-30,21067.0
2009-07-31,7388.0
2009-08-31,7650.0
2009-09-30,11871.0
2009-10-31,5985.0
2009-11-30,9501.0
2009-12-31,8100.0
2010-01-31,20550.0
2010-02-28,10877.0
2010-03-31,13830.0
2010-04-30,14919.0
2010-05-31,10805.0
2010-06-30,10196.0
2010-07-31,7202.0
2010-08-31,10646.0
2010-09-30,11224.0
2010-10-31,8608.0
2010-11-30,10554.0
2010-12-31,10780.0
2011-01-31,17560.0
2011-02-28,6468.0
2011-03-31,18212.0
2011-04-30,13673.0
2011-05-31,10854.0
2011-06-30,10873.0
2011-07-31,5393.0
2011-08-31,10741.0
2011-09-30,4279.0
2011-10-31,7908.0
2011-11-30,9581.0
2011-12-31,12744.0
2012-01-31,9754.0
2012-02-29,10431.0
2012-03-31,18704.0
2012-04-30,9637.0
2012-05-31,11432.0
2012-06-30,17802.0
2012-07-31,10522.0
2012-08-31,12475.0
2012-09-30,16462.0
2012-10-31,12906.0
2012-11-30,11225.0
2012-12-31,16282.0
2013-01-31,25446.0
2013-02-28,10705.0
2013-03-31,25503.0
2013-04-30,17629.0
2013-05-31,11871.0
2013-06-30,10375.0
2013-07-31,8191.0
2013-08-31,15841.0
2013-09-30,14120.0
2013-10-31,8645.0
2013-11-30,12310.0
2013-12-31,12532.0
2014-01-31,26004.0
2014-02-28,9370.0
2014-03-31,20934.0
2014-04-30,15259.0
2014-05-31,14013.0
2014-06-30,19673.0
2014-07-31,2737.0
2014-08-31,9577.0
2014-09-30,11355.0
2014-10-31,6807.0
2014-11-30,11459.0
2014-12-31,16945.0
2015-01-31,20516.0
2015-02-28,13609.0
2015-03-31,12433.0
2015-04-30,10582.0
2015-05-31,12397.0
2015-06-30,18384.0
2015-07-31,7511.0
2015-08-31,11097.0
2015-09-30,13571.0
2015-10-31,5593.0
2015-11-30,10255.0
2015-12-31,18114.0
2016-01-31,34758.0
2016-02-29,8312.0
2016-03-31,23931.0
2016-04-30,7809.0
2016-05-31,6770.0
2016-06-30,16479.0
2016-07-31,4791.0
2016-08-31,14605.0
2016-09-30,17115.0
2016-10-31,8865.0
2016-11-30,18328.0
2016-12-31,16397.0
2017-01-31,37720.076979
2017-02-28,11055.322109
2017-03-31,25471.639558
2017-04-30,19558.92377
2017-05-31,17811.732937
2017-06-30,25885.910953
2017-07-31,21188.106568
2017-08-31,20485.50771
2017-09-30,25438.606938
2017-10-31,15861.15144
2017-11-30,22955.981254
2017-12-31,18102.88255
2018-01-31,31417.220554
2018-02-28,12064.387925
2018-03-31,17091.476699
2018-04-30,22242.940549
2018-05-31,11233.624451
2018-06-30,20372.964614
2018-07-31,18381.941957
2018-08-31,24078.248888
2018-09-30,23061.250118
2018-10-31,9537.802987
2018-11-30,16127.165255
2018-12-31,19311.174083
2019-01-31,46791.139269
2019-02-28,9665.126685
2019-03-31,29602.336534
2019-04-30,16709.538169
2019-05-31,17123.729278
2019-06-30,26243.302006
2019-07-31,12872.110273
2019-08-31,21955.765013
2019-09-30,25142.210456
2019-10-31,8680.002122
2019-11-30,19936.916232
2019-12-31,22013.0
2020-01-31,50535.0
2020-02-29,8737.0
2020-03-31,51838.0
2020-04-30,31027.0
2020-05-31,31866.0
2020-06-30,34681.0
2020-07-31,16928.0
2020-08-31,35853.0
2020-09-30,34693.0
2020-10-31,13929.0
2020-11-30,21355.0
2020-12-31,17192.0
2021-01-31,51884.0
2021-02-28,17243.0
2021-03-31,33762.0
2021-04-30,18570.0
2021-05-31,19522.0
2021-06-30,37017.0
2021-07-31,10752.0
2021-08-31,29893.0
2021-09-30,29026.0
2021-10-31,16176.0
2021-11-30,25983.0
2021-12-31,23580.0
2022-01-31,61759.0
2022-02-28,12170.0
2022-03-31,46565.0
2022-04-30,9327.0
2022-05-31,28415.0
2022-06-30,51926.0
2022-07-31,7785.0
2022-08-31,24712.0
2022-09-30,35411.0
2022-10-31,9134.0
2022-11-30,19837.0
2022-12-31,13063.0
2023-01-31,59956.0
2023-02-28,31610.0
2023-03-31,53867.0
2023-04-30,12249.0
2023-05-31,15560.0
2023-06-30,42265.0
2023-07-31,5366.0
2023-08-31,31279.0
2023-09-30,41326.0
2023-10-31,18441.0
2023-11-30,24554.0
2023-12-31,19326.0
2024-01-31,64734.0
2024-02-29,14959.0
2024-03-31,48335.0
2024-04-30,-658.0
2024-05-31,20623.0
2024-06-30,32985.0
2024-07-31,7707.0
2024-08-31,30323.0
2024-09-30,37635.0
2024-10-31,14000.0

数据来源：Wind






















































































































































































































































































