,日期,沪深300月度收益率(%)
0,2003-01,9.402083578998944
1,2003-02,0.5054498178586719
2,2003-03,0.11574990748566272
3,2003-04,2.0571796752962834
4,2003-05,4.924071800989882
5,2003-06,-6.615955044795507
6,2003-07,0.6569662000989629
7,2003-08,-3.615175633034229
8,2003-09,-4.333145117279901
9,2003-10,-1.3917394773282687
10,2003-11,2.811799476591559
11,2003-12,4.536985245962422
12,2004-01,7.246568773235307
13,2004-02,5.4699379456594865
14,2004-03,2.4670897831848615
15,2004-04,-10.488702499108049
16,2004-05,-2.6470820523073035
17,2004-06,-10.615637920988119
18,2004-07,0.9472599257403624
19,2004-08,-3.0093327182124763
20,2004-09,5.025834536724938
21,2004-10,-5.307823266978384
22,2004-11,1.1779570620116253
23,2004-12,-5.88383515096127
24,2005-01,-4.530374599124332
25,2005-02,8.904647186557657
26,2005-03,-9.389028622501494
27,2005-04,-1.0397005631402556
28,2005-05,-8.194781854647704
29,2005-06,2.648187734306484
30,2005-07,1.0691298776123404
31,2005-08,4.469353325349634
32,2005-09,-1.1287351683286317
33,2005-10,-4.481032770849702
34,2005-11,-0.29618518719778386
35,2005-12,5.6901449018804895
36,2006-01,9.321237583853392
37,2006-02,4.281594109519893
38,2006-03,0.747270007134726
39,2006-04,10.487989581764445
40,2006-05,16.438827098373366
41,2006-06,2.097742865782082
42,2006-07,-7.159557674555572
43,2006-08,3.4199716278082715
44,2006-09,4.81200016849106
45,2006-10,4.367919616562732
46,2006-11,17.064566147474093
47,2006-12,19.084589647115724
48,2007-01,16.882327735200132
49,2007-02,6.678763477133942
50,2007-03,9.317179333573456
51,2007-04,27.93516334757149
52,2007-05,10.371964391497857
53,2007-06,-4.152997194453601
54,2007-07,18.482715748010037
55,2007-08,18.76527777329202
56,2007-09,5.340241530934486
57,2007-10,1.9099645066479543
58,2007-11,-16.71189132156816
59,2007-12,12.675999527961125
60,2008-01,-13.443346413714153
61,2008-02,1.1749081178383136
62,2008-03,-18.919952700468045
63,2008-04,4.466076254698725
64,2008-05,-8.78052120721774
65,2008-06,-22.691812886401873
66,2008-07,0.48861298488489524
67,2008-08,-14.749329151368851
68,2008-09,-6.202033463243694
69,2008-10,-25.838745045594635
70,2008-11,9.97866065974815
71,2008-12,-0.6579707970130633
72,2009-01,11.819156968263545
73,2009-02,5.2808826117315855
74,2009-03,17.166593609004522
75,2009-04,4.575616174652786
76,2009-05,5.222286125589437
77,2009-06,14.7312054096854
78,2009-07,17.949114688265254
79,2009-08,-24.23416258918506
80,2009-09,6.15522199756442
81,2009-10,9.177089615338252
82,2009-11,7.082451367228559
83,2009-12,1.8538047441947203
84,2010-01,-10.380172198177473
85,2010-02,2.423153666700517
86,2010-03,1.947302485703073
87,2010-04,-8.3204404550415
88,2010-05,-9.575242699210651
89,2010-06,-7.59475216925527
90,2010-07,11.908491441772394
91,2010-08,1.1838179774656066
92,2010-09,1.131266723317803
93,2010-10,15.132645942497813
94,2010-11,-7.179399868058156
95,2010-12,-0.2800279294705277
96,2011-01,-1.6509060731254799
97,2011-02,5.293106711107076
98,2011-03,-0.5345744682823117
99,2011-04,-0.9544072282878013
100,2011-05,-5.9975091329322545
101,2011-06,1.4073921890265018
102,2011-07,-2.361663552827198
103,2011-08,-4.209022088842762
104,2011-09,-9.316867855631783
105,2011-10,4.420381674198692
106,2011-11,-6.461023578772462
107,2011-12,-6.954121977500738
108,2012-01,5.057509909234947
109,2012-02,6.908822624695654
110,2012-03,-6.788373458946251
111,2012-04,6.987553940127822
112,2012-05,0.22521277207530055
113,2012-06,-6.490118683728174
114,2012-07,-5.234649142217229
115,2012-08,-5.4829114302002875
116,2012-09,3.9998004544272936
117,2012-10,-1.6856092869352857
118,2012-11,-5.111055557917399
119,2012-12,17.919221858720036
120,2013-01,6.51713596962149
121,2013-02,-0.507133798296755
122,2013-03,-6.6796905583830775
123,2013-04,-1.9260240990041089
124,2013-05,6.5298540248351244
125,2013-06,-15.585360793904425
126,2013-07,-0.34754514748356335
127,2013-08,5.512854850493776
128,2013-09,4.095054929012032
129,2013-10,-1.4591847325420848
130,2013-11,2.7594901849090414
131,2013-12,-4.469152175790292
132,2014-01,-5.492238453507303
133,2014-02,-1.0651749590740889
134,2014-03,-1.5079483758494105
135,2014-04,0.5740942551126338
136,2014-05,-0.10374227905269873
137,2014-06,0.41349498575977695
138,2014-07,8.547411681587658
139,2014-08,-0.4879806315322921
140,2014-09,4.833167934176963
141,2014-10,2.3396512807460246
142,2014-11,11.969515514070705
143,2014-12,25.777073131370898
144,2015-01,-2.799367366787908
145,2015-02,4.01339848178186
146,2015-03,13.383374125080284
147,2015-04,17.23805913506049
148,2015-05,1.9019865934937208
149,2015-06,-7.604875562947189
150,2015-07,-14.69131506166691
151,2015-08,-11.784843562578251
152,2015-09,-4.865847993586813
153,2015-10,10.335154360610566
154,2015-11,0.9049065070932727
155,2015-12,4.6179358432661965
156,2016-01,-21.031139720962145
157,2016-02,-2.33934824203611
158,2016-03,11.846262668287434
159,2016-04,-1.9159430179972348
160,2016-05,0.3914918620218977
161,2016-06,-0.49102239162166494
162,2016-07,1.5948509898090713
163,2016-08,3.858963318269848
164,2016-09,-2.234846702856219
165,2016-10,2.562106176780632
166,2016-11,6.001233033274378
167,2016-12,-6.461339854589109
168,2017-01,2.336240676653567
169,2017-02,1.9197839283112028
170,2017-03,0.11088754328012485
171,2017-04,-0.47319932288014677
172,2017-05,1.574931798697432
173,2017-06,4.997480928399178
174,2017-07,1.9548831455127758
175,2017-08,2.260920651898979
176,2017-09,0.37313964177063674
177,2017-10,4.446263229513003
178,2017-11,-0.029656289567858707
179,2017-12,0.6353967457071841
180,2018-01,6.085606496131435
181,2018-02,-5.887721724560535
182,2018-03,-3.1159059795360045
183,2018-04,-3.634595327000123
184,2018-05,1.2123356704320631
185,2018-06,-7.670039668809947
186,2018-07,0.20810887801667732
187,2018-08,-5.208206554418049
188,2018-09,3.1377395946749598
189,2018-10,-8.308575213516466
190,2018-11,0.6216132001966246
191,2018-12,-5.1126557909502495
192,2019-01,6.329221393925422
193,2019-02,14.612880455380473
194,2019-03,5.544930506560353
195,2019-04,1.065711740932529
196,2019-05,-7.238254166241697
197,2019-06,5.407539178182819
198,2019-07,0.27489104857378877
199,2019-08,-0.9287560308163578
200,2019-09,0.405794100441903
201,2019-10,1.879760431633204
202,2019-11,-1.485784295644521
203,2019-12,6.991450680647571
204,2020-01,-2.2570796601324994
205,2020-02,-1.6111438359350028
206,2020-03,-6.444267055353237
207,2020-04,6.13184810019336
208,2020-05,-1.1600391555882106
209,2020-06,7.691620199064753
210,2020-07,12.755916933612333
211,2020-08,2.5818623520641015
212,2020-09,-4.743119760293091
213,2020-10,2.3325008846260875
214,2020-11,5.635163884189542
215,2020-12,5.054066991826578
216,2021-01,2.6894258217033062
217,2021-02,-0.2948230360701354
218,2021-03,-5.409051855909642
219,2021-04,1.4929771805242575
220,2021-05,4.061395260504019
221,2021-06,-2.034566715479813
222,2021-07,-7.8927728583429
223,2021-08,-0.11835473862658041
224,2021-09,1.2852291730677479
225,2021-10,0.8797048371022909
226,2021-11,-1.5618800199080463
227,2021-12,2.245267320458022
228,2022-01,-7.599244805924366
229,2022-02,0.38506236628823576
230,2022-03,-7.854146349612712
231,2022-04,-4.882345772561458
232,2022-05,1.8748637299428772
233,2022-06,9.63105367377526
234,2022-07,-7.009462374661657
235,2022-08,-2.178850738290594
236,2022-09,-6.708064132787916
237,2022-10,-7.788441892834719
238,2022-11,9.827413986265721
239,2022-12,0.4752231549517205
240,2023-01,7.351370897126164
241,2023-02,-2.0986862229125935
242,2023-03,-0.4260531115920063
243,2023-04,-0.542144256856103
244,2023-05,-5.715753358159681
245,2023-06,1.1438922358665948
246,2023-07,4.480190556343566
247,2023-08,-6.205582627441153
248,2023-09,-1.9921801684270934
249,2023-10,-3.1654108507897516
250,2023-11,-2.147169027382567
